"X15MIN"	"X30MIN"	"X1HR"	"X2HR"	"X4HR"	"X6HR"	"X8HR"	"X12HR"	"X16HR"	"X20HR"	"X24HR"
"1"	-0.47	-3.32	-0.81	0.11	-0.6	-1.36	-1.03	-1.84	-1	-0.6	-0.94
"2"	0.66	0.07	0.2	0.29	-0.89	-0.45	-0.29	-0.29	-0.15	-0.45	-0.42
"3"	0.14	-0.04	0	-0.15	-0.58	-0.3	-0.18	-0.38	-0.49	-0.81	-1.12
"4"	-0.04	0	-0.23	-0.25	-0.47	-0.6	-0.56	-1.09	-0.71	-0.76	-0.62
"5"	0.28	0.37	0.11	-0.17	-0.18	-0.6	-0.23	-0.58	-0.79	-0.29	-0.74
"6"	0.54	0.53	0.16	0.14	0.2	-0.34	-0.38	-0.36	-0.49	-0.58	-1.47
"7"	0.2	0.14	0	0.11	-0.34	-0.03	0.04	-0.76	-0.81	-1.12	-1.36
"8"	0.4	0.43	0.18	0	-0.14	0.29	0.07	-0.79	-0.81	-0.92	-1.22
"9"	0.01	0.46	0.28	-0.34	-0.23	-0.36	-0.45	-0.64	-0.79	-1.22	-1.09
"10"	-0.23	0.04	0	-0.3	-0.29	-0.45	-0.97	-2.06	-0.89	-1.22	-0.97
"11"	0.16	-0.12	0.01	-0.22	-0.22	-0.51	-0.69	-1.47	-1.43	-1.51	-1.4
"12"	0.3	0.28	-0.07	-0.3	-0.14	-0.2	-0.42	-1.32	-0.89	-0.94	-0.94
"13"	-0.06	0.25	0.11	-0.36	-0.71	-0.92	-0.89	-1.56	-0.71	-0.97	-1.12
"14"	-0.45	-0.23	-0.43	-0.69	-0.81	-1.09	-1.22	-1.25	-0.92	-1.4	-1.74
"15"	-0.6	-1.03	-0.76	-0.03	-0.23	-1.22	-2	-2.12	-0.69	-0.58	-0.86
"16"	-0.03	-0.29	-0.18	-0.29	-0.18	-1.06	-1.56	-1	-0.1	-0.71	-0.42
"17"	0.01	-0.3	-0.36	-0.64	-0.17	-1.12	-1.94	-0.97	-0.49	-0.74	-0.92
"18"	0.11	0.23	0.04	0.06	0.07	-0.38	-1.18	-0.64	-0.43	-0.18	-0.58
"19"	-0.22	-1.09	-0.94	-0.38	-1.06	-1.25	-1.64	-2.32	-1.64	-1.03	-1.29
"20"	-0.3	-1.03	-0.42	-0.29	-0.74	-1.15	-1.51	-1.79	-1.12	-1.03	-0.89
"21"	-0.47	-0.92	-0.6	-0.22	-0.81	-0.64	-1.4	-1.25	-1.09	-0.89	-0.71
"22"	-0.25	-0.54	-0.54	-0.54	-0.51	-0.92	-1.4	-1.69	-0.64	-1.36	-1.36
"23"	-0.14	-0.22	-0.45	0.19	-0.58	-0.62	-1.18	-1.25	-0.42	-1.06	-0.89
"24"	-0.12	-0.3	-0.3	0.01	-0.51	-0.81	-1.15	-1	-0.4	-0.84	-0.69
"25"	-0.03	-0.64	-0.42	0.21	-0.42	-0.86	-1.84	-1.36	-0.43	-0.67	-0.81
"26"	0.41	-0.32	0.18	0.38	0.01	-0.15	-0.92	-0.92	-0.17	-0.18	-0.42
"27"	0	-0.43	-0.07	-0.07	-0.17	-0.45	-0.84	-1.36	-0.32	-0.47	-0.84
"28"	0.2	-0.09	-0.22	0.24	0.1	-0.62	-0.79	-0.94	-0.38	-0.43	-0.27
"29"	-0.4	-0.04	-0.34	-0.79	-1.03	-0.74	-1.43	-1.25	-0.01	-0.56	-0.89
"30"	-0.2	-0.03	-0.25	-0.18	-0.79	-1	-1.09	-1.29	0.28	-0.81	-0.62
"31"	-0.12	-0.32	-0.43	-0.58	-0.76	-0.86	-1.22	-1.06	-0.4	-0.23	-0.56
"32"	-0.36	-0.29	-0.3	-0.56	-0.97	-1.12	-1.15	-1.43	-0.12	-0.45	-0.4
"33"	-0.22	-0.58	-0.34	-0.43	-0.69	-0.97	-0.94	-0.94	-0.17	-0.51	-0.38
"34"	-0.03	-0.45	0.11	-0.09	-0.47	-0.64	-0.81	-0.81	-0.1	-0.38	-0.36
"35"	0.06	0.01	-0.3	-0.07	-0.67	-0.54	-0.69	-1.03	-0.01	-0.03	-0.27
"36"	-0.07	-0.07	0	-0.06	-0.56	-0.71	-0.92	-1.09	-1.12	-0.27	-1.22
"37"	0.32	-0.03	-0.38	-0.03	-0.84	-0.81	-0.97	-1.32	-0.84	-0.69	-0.43
"38"	-0.17	-0.32	-0.56	-0.2	-0.6	-0.76	-0.86	-1	-0.74	-0.67	-0.51
"39"	0.4	-0.01	-0.36	-0.03	-0.74	-0.74	-0.62	-1.09	-0.92	-0.97	-0.84
"40"	0.04	-0.27	-0.56	0.1	-0.23	-0.62	-0.32	-0.62	-0.69	-0.67	-0.6
"41"	-0.71	-0.54	-0.86	-0.74	-1.03	-1.51	-1.51	-2.06	-1.51	-1	-0.81
"42"	-0.07	0.41	0.4	-0.34	-0.89	-0.81	-1.51	-1.47	-1	-1.15	-1.06
"43"	-0.56	0.08	-0.01	-0.79	-1.25	-2.18	-2.32	-1.84	-1	-0.97	-0.92
"44"	-0.09	-0.07	-0.22	-0.6	-0.74	-1.06	-1.15	-1.06	-0.89	-0.89	-0.56
"45"	-0.29	-0.23	-0.29	-0.42	-0.86	-0.81	-1.43	-1	-0.49	-0.92	-0.62
"46"	-0.3	-0.18	-0.54	-0.36	-0.79	-1	-1.32	-0.92	-0.47	-1.22	-0.62
"47"	0.11	0.36	0.21	-0.01	-0.56	-0.67	-1.4	-1.32	-0.43	-0.86	-0.92
"48"	-0.23	0.14	0.03	-0.25	-0.56	-0.34	-1.69	-1.47	-0.4	-0.94	-0.79
"49"	-1.12	-0.29	-0.47	-1	-1.25	-1.43	-1.84	-2.32	-1.09	-1.32	-0.89
"50"	-0.3	0.29	0.11	-0.32	-0.56	-0.49	-0.94	-1.18	-0.49	-0.58	-0.34
"51"	-0.97	-0.45	-0.06	-0.25	-0.38	-0.51	-1.89	-1.22	-0.67	-1.64	-1.32
"52"	-0.29	-0.07	0.03	-0.43	-0.23	-0.43	-0.89	-0.62	-0.49	-1.22	-0.86
"53"	0.3	0.04	-0.01	0.04	-0.2	-0.67	-0.86	-1.25	-0.79	-1	-0.49
"54"	-0.32	-0.6	-0.47	-0.43	-0.56	-0.97	-1.74	-1.47	-1.22	-1.69	-1.56
"55"	-0.12	-0.4	-0.51	-0.1	-0.22	-0.69	-1	-0.62	-0.84	-0.81	-0.92
"56"	-0.45	0.39	-0.23	-0.17	-0.74	-0.81	-1.29	-1.29	-0.81	-1.22	-1.32
"57"	-0.09	-0.01	-0.36	0.1	-0.74	-0.81	-1.56	-1.47	-0.94	-1.22	-1.4
"58"	0.04	-0.14	-0.36	-0.38	-0.56	-0.94	-1.12	-1	-0.62	-0.64	-0.74
"59"	0.01	-0.1	-0.23	-0.34	-0.58	-1.15	-1.09	-1.18	-1.29	-1.4	-1.22
"60"	-0.22	-0.23	-0.09	-0.58	-0.36	-0.64	-1.15	-0.92	-1.06	-1.12	-1.32
"61"	-0.27	-0.62	-0.54	-0.97	-0.67	-0.76	-1.29	-1.64	-0.97	-1.47	-1.32
"62"	-0.51	-0.4	-0.23	-0.71	-0.47	-0.45	-1.18	-1.09	-0.69	-0.81	-0.94
"63"	0.15	0.07	-0.49	-0.27	-0.47	-0.54	-0.56	-0.74	-0.47	-0.6	-0.81
"64"	-0.06	0.26	0.06	-0.4	-0.17	-0.34	-0.27	-0.67	-0.32	-0.45	-0.81
"65"	0	0.08	0.03	-0.09	0.06	-1.12	-0.84	-0.25	-0.34	-0.81	-0.69
"66"	0.03	0.08	-0.42	-0.01	-0.62	-1.12	-1.69	-1.94	-1.56	-2.06	-1.89
"67"	-0.1	0.26	-0.3	-0.04	-0.36	-0.54	-0.67	-1.29	-1.29	-1.64	-1.6
"68"	0.04	-0.71	-0.4	0.04	-0.47	-0.71	-1.03	-1.51	-1.43	-1.79	-1.84
"69"	0.06	-0.2	-0.09	-0.06	-0.32	-0.6	-0.79	-1.22	-0.89	-1.18	-0.97
"70"	-0.1	-0.58	-0.54	-0.69	-0.42	-0.89	-1.25	-1.43	-0.94	-1.79	-2
"71"	-0.03	-0.18	-0.58	-0.43	-0.64	-1.22	-1.64	-2.18	-2.06	-2	-1.12
"72"	-0.18	-0.38	-0.54	-0.32	-0.84	-1.32	-1.47	-2.18	-2.32	-2.06	-1.12
"73"	0	-0.06	0.28	0.14	-0.07	-0.56	-1.22	-1.12	-1.03	-0.86	-0.79
"74"	0.01	0.04	0.1	0.08	-0.23	-0.62	-1.15	-1.22	-1.56	-1.22	-1
"75"	-0.04	0.29	0.16	-0.25	-0.09	-0.43	-0.84	-0.97	-1.12	-0.84	-1.12
"76"	0.39	0.54	0.58	0.46	-0.1	-0.4	-0.69	-0.76	-0.71	-1.03	-0.84
"77"	0.24	-0.45	-0.27	-0.34	-0.71	-1.36	-2.06	-2.56	-1.4	-1.51	-1.4
"78"	-0.1	-0.38	-0.25	-0.43	-0.6	-1	-1.51	-1.69	-0.94	-1.22	-1.18
"79"	-0.14	-0.12	-0.3	-0.45	-0.97	-1.47	-1.74	-2.12	-1.43	-1.64	-1.47
"80"	0.11	-0.25	-0.07	-0.09	-0.29	-0.76	-0.89	-2.06	-1.03	-1.06	-0.67
"81"	-0.18	-0.22	-0.58	-0.47	-0.27	-0.89	-1	-1.56	-1.15	-1	-1.09
"82"	0.08	0	0.03	0.1	0.21	-0.56	-1.03	-1.32	-0.86	-0.29	-0.14
"83"	0.4	0.34	-0.2	0.06	0.07	-0.3	-0.94	-1.22	-0.54	-0.51	-0.54
"84"	0.15	0.04	-0.4	-0.32	-0.74	-0.94	-1.15	-1.64	-1.6	-0.97	-0.71
"85"	-0.43	-0.07	-0.17	-0.45	-1.47	-2.32	-2.18	-2.4	-2.12	-2.64	-2.4
"86"	-0.3	-0.1	-0.42	0.24	-0.89	-1.69	-1.56	-2.12	-1.69	-1.47	-1.47
"87"	0.07	-0.06	-0.03	-0.2	-0.89	-1.69	-1.69	-1.29	-1.06	-1.47	-1.47
"88"	0.11	0.56	0.55	0.03	-0.79	-1.03	-1.03	-0.67	-0.58	-0.81	-0.69
"89"	0.38	0.34	0.1	0.07	-0.64	-1.25	-1.06	-0.71	-0.51	-0.79	-0.81
"90"	0.07	0.34	-0.22	0.06	-0.71	-1.03	-0.86	-0.94	-0.79	-0.71	-0.84
"91"	0.21	0.26	-0.1	-0.22	-1.03	-1.15	-0.92	-1.15	-0.84	-0.64	-0.64
"92"	0.07	0.18	0.01	-0.38	-1.22	-1.6	-0.97	-1.03	-0.74	-1	-0.54
"93"	-0.23	0.1	0.07	-0.27	-0.76	-1.36	-0.71	-0.58	-0.86	-0.54	-0.54
"94"	0.12	-0.12	0.16	0.21	-0.92	-1.06	-0.51	-0.76	-0.89	-1.25	-1.29
"95"	0.26	0.28	-0.3	-0.3	-0.54	-0.97	-1.09	-0.84	-1.22	-0.47	-0.42
"96"	0.16	0.06	0.03	-0.34	-0.38	-0.97	-1.03	-0.54	-0.71	-0.23	-0.01
"97"	-0.07	-0.36	0.01	-0.23	-0.18	-0.89	-1.22	-0.81	-0.81	-0.54	-0.43
"98"	-0.51	0.64	0.31	-0.34	-0.43	-1.03	-0.94	-1.25	-0.64	-0.58	-0.62
"99"	-0.47	-0.25	-0.4	-0.34	-0.2	-1	-0.89	-1.15	-0.51	-0.84	-0.36
"100"	-0.04	-0.27	0.12	0.01	0.14	-0.54	-0.71	-0.54	-1.03	-0.6	-0.42
"101"	0.16	0.71	0.24	-0.4	-0.32	-0.69	-0.79	-1.09	-0.74	-0.86	-1.03
"102"	1.01	-0.03	0.11	0.07	-1.12	-1	-0.32	0.58	0.93	0.93	0.9
"103"	0.32	-0.3	-0.67	0.07	-1.15	-0.97	-0.58	0.5	0.86	0.49	0.67
"104"	0.23	-0.69	-0.38	-0.17	-0.79	-0.71	-0.58	0.04	0.66	0.42	0.64
"105"	-0.03	-0.81	-0.2	-0.47	-1.15	-1.06	-0.4	-0.54	0.15	0.1	0.28
"106"	-0.22	-0.38	-0.04	-0.27	-0.97	-0.51	-0.29	-0.22	0.29	0.7	0.75
"107"	-0.4	-0.49	-0.34	-0.84	-1	-1.03	-0.67	0.18	-0.07	0.28	0.36
"108"	0.01	-0.62	0.14	-0.1	-1.18	-1.51	-1.43	-0.34	0.1	0.01	-0.2
"109"	0.01	-0.23	-0.03	-0.25	-2	-2	-1.89	-0.97	-0.22	-0.17	0.24
"110"	-0.04	-0.38	-0.12	-0.14	-0.94	-1.32	-1.36	-0.09	0.03	0.38	0.56
"111"	-0.15	-0.76	-1.18	-0.64	-1.6	-2.12	-1.6	-0.79	-0.09	-0.49	-0.47
"112"	-0.3	-0.67	-0.38	-0.06	-1.15	-1.29	-1.06	-0.62	-0.54	-0.29	0.01
"113"	-0.04	-0.89	-0.42	-0.23	-1.09	-1.06	-1	-0.74	-0.38	-0.27	-0.27
"114"	-0.51	-0.94	-0.51	0.01	-1.12	-1.36	-0.76	-0.76	-0.45	-0.43	-0.54
"115"	-0.36	-0.67	-0.51	-0.2	-1.03	-0.89	-0.42	-0.29	-0.32	-0.22	-0.06
"116"	0.08	-0.71	-0.23	-0.2	-0.84	-0.62	-0.43	-0.4	0.14	-0.15	-0.23
"117"	0.12	-0.12	-0.38	0.01	-0.47	-0.18	-0.45	-0.32	0.18	0.15	-0.03
"118"	-0.09	-0.69	-0.58	-0.51	-0.47	-0.1	-0.25	-0.12	0.28	0.08	0.28
"119"	-0.17	-0.47	-0.81	-0.01	-0.51	-0.69	-1.09	-0.69	0.01	0	0.26
"120"	-0.07	-0.38	-0.74	0.06	-0.25	-0.3	-0.69	-0.43	0.11	0.26	0.3
"121"	-0.12	-0.71	-0.84	-0.3	-0.45	-0.58	-0.58	-0.79	-0.29	0.24	0.16
"122"	-0.04	-0.56	-0.27	-0.25	-0.06	-0.74	-0.79	-0.51	-0.36	-0.12	0.1
"123"	-0.03	-0.69	-0.4	-0.1	-0.49	-0.74	-1	-0.2	-0.22	0.18	0.14
"124"	-0.29	-1.74	-0.81	-0.36	-0.56	-0.94	-1.56	-1.22	-0.27	-0.22	0.08
"125"	-0.34	-1.47	-1	-1.03	-0.56	-1.15	-1.4	-1.47	-0.43	-0.15	-0.49
"126"	-0.64	-1.36	-1.4	-0.42	-0.42	-0.76	-1.12	-1.25	0.11	0.39	0.43
"127"	-0.09	-0.89	-0.6	-0.76	-0.56	-0.32	-0.36	-0.74	-0.17	0.21	0.18
"128"	-0.15	-0.18	-0.62	0.39	0.06	-0.12	-0.4	-0.58	-0.03	0.14	0.1
"129"	-0.23	-0.4	-0.15	-0.54	-2.12	-1.51	-1.56	-1.84	-0.86	-1.12	-0.97
"130"	0.03	-0.09	-0.18	-0.03	-1.36	-1.15	-1.29	-1.47	-0.76	-0.89	-0.81
"131"	-0.06	-0.45	-0.6	-0.07	-1.56	-2.06	-2.47	-1.47	-0.64	-0.84	-0.84
"132"	0.23	0.04	-0.01	-0.36	-1.74	-2.64	-2.64	-2.4	-0.56	-0.6	-0.64
"133"	-0.09	0.2	-0.15	-0.04	-0.58	-0.94	-1.03	-1	-0.23	-0.09	0.01
"134"	-0.22	-0.01	-0.04	-0.49	-0.69	-1.03	-1.09	-1.12	-0.49	-0.49	-0.2
"135"	0.14	-0.29	-0.18	-0.27	-0.92	-1.18	-1.6	-1.09	-0.22	-0.49	-0.45
"136"	0.1	-0.32	-0.38	0	-0.86	-1.03	-1.36	-1.29	-0.38	-0.58	-0.38
"137"	0.07	-0.36	-0.49	-0.23	-0.62	-1.12	-1.22	-1.18	-0.43	-0.25	-0.3
"138"	-0.23	0	-0.15	-0.38	-0.74	-1.43	-1.74	-0.94	-0.06	-0.45	-0.47
"139"	0.12	-0.17	-0.14	-0.69	-1.03	-1.6	-1.64	-1.15	-0.29	-0.64	-0.58
"140"	0.33	-0.17	-0.03	-0.09	-0.79	-1.06	-1.03	-0.81	-0.27	-0.64	-0.51
"141"	0.1	-0.4	-0.3	-0.2	-1.03	-1.09	-1.06	-0.81	-0.36	-0.6	-0.69
"142"	0.34	-0.03	0.32	-0.17	-1.56	-2.25	-2.18	-1.74	-0.81	-1.06	-0.97
"143"	-0.15	-0.25	0.04	-0.6	-0.74	-1.32	-1.29	-1.15	-0.67	-0.69	-0.58
"144"	0.01	-0.18	-0.03	-0.51	-1.25	-1.79	-1.94	-1.64	-0.94	-0.94	-0.43
"145"	0	0.24	0.4	0.19	-0.18	-1.74	-1.74	-1.25	-0.71	-0.79	-0.38
"146"	0.07	-0.03	-0.01	0.23	-0.22	-1.15	-1.47	-1.4	-0.69	-0.56	-0.14
"147"	0.07	0.19	-0.14	0.08	-0.64	-1.12	-1.4	-1.4	-0.56	-0.84	-0.74
"148"	0.03	0.33	0.29	0.18	-0.42	-0.84	-1.03	-1.03	-0.32	-0.23	-0.49
"149"	-0.34	-0.45	-0.45	-0.18	-0.47	-1.6	-1.36	-1.6	-0.6	-0.64	-0.56
"150"	0.34	0.21	0.31	-0.15	-0.14	-0.47	-0.64	-0.54	-0.56	-0.3	0.29
"151"	-0.04	0.03	0.23	-0.38	-0.09	-0.92	-1.09	-0.79	-0.07	-0.14	-0.32
"152"	-0.03	-0.3	-0.15	-0.18	-0.56	-1.4	-1.29	-0.79	-0.81	-0.23	-0.03
"153"	0.39	-0.12	0.23	0.04	-0.18	-0.84	-1.03	-0.69	-0.3	0.06	0.14
"154"	-0.14	-0.71	-0.42	-0.47	-0.29	-1.25	-1.4	-1.36	-0.76	-0.2	-0.3
"155"	-0.54	-0.64	-0.89	-0.45	-1	-1.12	-2.06	-1.94	-0.25	-0.54	-0.67
"156"	0.08	-0.25	-0.1	-0.15	-0.54	-1.18	-1.32	-1.43	0.11	-0.62	-0.4
"157"	0.06	-0.12	-0.27	-0.15	-0.43	-0.92	-1.32	-1.09	-0.03	-0.3	-0.15
"158"	-0.38	-0.84	-0.58	-0.47	-0.64	-1.12	-1.32	-1.56	-0.45	-0.64	-0.64
"159"	-0.04	-0.58	-0.36	-0.34	-0.76	-1.22	-1.64	-1.43	-0.4	-0.64	-0.94
"160"	-0.12	-0.15	-0.34	-0.15	-0.84	-1.32	-1.47	-1.09	-0.51	-0.47	-0.74
"161"	-0.1	-0.71	-0.4	-0.09	-1.25	-1.94	-2.32	-1.69	-0.51	-0.43	-0.4
"162"	-0.15	-0.56	-0.09	-0.2	-0.56	-1	-1.47	-1.29	-0.36	-0.54	-0.3
"163"	-0.03	-0.79	-0.01	0.11	-0.76	-1.15	-1.94	-1.18	-0.4	-0.18	-0.22
"164"	0.2	-0.27	-0.2	0	-0.18	-0.58	-1.12	-1.4	0	-0.06	-0.06
"165"	-0.03	-0.23	-0.74	-0.2	-0.84	-1.12	-1.6	-1.94	-0.6	-0.69	-0.2
"166"	0.37	-0.17	-0.49	-0.15	-0.79	-1.09	-1.36	-1.94	-0.62	-0.29	-0.27
"167"	-0.29	-0.2	-0.1	-0.1	-0.54	-0.79	-1.47	-1.79	-0.58	-0.49	-0.09
"168"	0.01	-0.23	0.16	-0.15	-0.4	-0.89	-1.15	-1.64	-0.36	-0.62	-0.32
"169"	-0.09	-0.32	-0.36	-0.49	-0.74	-1.18	-1.43	-1.6	-0.69	-0.74	-0.81
"170"	-0.34	-0.56	-0.42	-0.29	-1.22	-1.51	-1.32	-1.69	-0.51	-0.76	-0.47
"171"	-0.4	-0.54	-0.15	-0.2	-0.94	-0.97	-1.03	-1.51	-0.3	-0.4	-0.25
"172"	-0.23	-0.49	-0.51	-0.14	-1.09	-0.6	-1.25	-1.56	-0.38	-0.36	-0.27
"173"	0.11	-0.18	-0.3	0.04	-0.64	-0.89	-1.18	-1.36	-0.45	-0.43	-0.04
"174"	0.23	-0.42	-0.54	-0.27	-0.56	-0.92	-0.67	-1.03	-0.67	-0.6	-0.06
"175"	0.12	-0.45	-0.36	0.01	-0.76	-0.84	-0.67	-0.74	-0.25	-0.36	-0.22
"176"	0.44	-0.01	-0.42	0.25	-0.92	-0.81	-0.79	-1.12	-0.01	-0.27	-0.1
"177"	-0.1	-0.69	-0.58	-0.56	-0.79	-1.36	-1.25	-1.12	-0.17	-0.12	-0.06
"178"	-0.09	-0.76	-0.38	-0.51	-0.89	-1.36	-1.32	-1.12	-0.76	-0.51	-0.09
"179"	-0.47	-0.76	-0.69	-0.34	-0.97	-1.22	-1.4	-1.32	-0.71	-0.76	-0.49
"180"	-0.3	-0.92	-0.54	-0.09	-0.54	-1.43	-1.18	-1.29	-0.07	-0.18	-0.27
"181"	-0.49	-0.22	-0.97	-0.32	-1.03	-1.64	-1.56	-1.79	-0.07	-0.43	-0.62
"182"	-0.67	-0.43	-0.51	0.06	-0.79	-1.18	-1.09	-1.03	-0.06	-0.06	-0.3
"183"	-1	-0.49	-0.64	-1.03	-0.86	-1.12	-1.22	-1.43	-0.2	-0.09	-0.03
"184"	-0.54	-0.49	-0.36	-0.49	-0.81	-1.12	-0.62	-1.18	-0.43	-0.2	-0.01
"185"	-0.54	-0.49	-0.67	-0.38	-0.42	-0.79	-0.79	-1.25	-0.2	-0.06	0.3
"186"	0.06	-0.25	-0.07	-0.36	-0.79	-0.56	-0.71	-0.71	0.2	0.29	0.49
"187"	-0.3	-0.3	0.15	0.01	-1	-0.74	-0.86	-0.86	0.14	0	0.15
"188"	-0.15	-0.18	-0.2	0.19	-0.69	-0.56	-0.49	-0.6	0.11	0.43	0.49
"189"	0	-0.1	-0.22	-0.2	-0.62	-0.84	-0.42	-0.51	0.2	0.01	0.29
"190"	0.32	0.14	0.03	-0.04	-0.89	-0.76	-0.27	-0.45	0.11	0.31	0.4
"191"	-0.1	-0.1	-0.1	-0.67	-1.25	-0.54	-0.47	-0.86	0.08	0.06	0.11
"192"	-0.74	-0.34	-0.79	-1.03	-1.47	-1.64	-1.84	-1.56	-0.67	-0.3	0.04
"193"	-0.58	-0.29	-0.29	-0.84	-1.22	-1.09	-1.36	-1.09	-0.23	-0.49	-0.43
"194"	-0.79	-0.42	-0.47	-1.03	-0.97	-0.49	-1.6	-1.25	-0.36	-0.51	-0.17
