compuesto	IC50	min	max
DMSO	0	0	0
Umbrella6	0.06	0.05	0.06
Umbrella15	0.47	0.44	0.52
Umbrella22	0.69	0.47	1.01
Umbrella3	0.69	0.05	5.13
Umbrella5	0.69	0.44	1.03
Umbrella2	2.35	0.94	52.95
Umbrella4	2.82	1.02	9.06
Umbrella1	5.25	1.41	13.58
Umbrella8	5.32	2.76	9.66
Umbrella7	9.79	4.42	22.62
Umbrella21	38.23	5.01	69.61
Umbrella11	149.79	111.84	188.89
Umbrella19	155.32	15.48	504.2
Umbrella13	164.53	122.69	266.82
Umbrella10	200.63	76.01	200.63
Umbrella12	201.71	141.07	269.51
Umbrella9	213.23	141.08	269.84
Umbrella17	295.13	225.07	355.4
Umbrella18	854.67	625.52	1087.53
Umbrella14	NA	NA	NA
Umbrella16	NA	NA	NA
Umbrella20	NA	NA	NA
