Accession,Geo_Location,Collection_Date
MT450932,Australia: Victoria,2020-03-07
MT450935,Australia: Victoria,2020-03-08
MT450936,Australia: Victoria,2020-03-09
MT450938,Australia: Victoria,2020-03-09
MT450941,Australia: Victoria,2020-03-10
MT450942,Australia: Victoria,2020-03-10
MT450943,Australia: Victoria,2020-03-10
MT450944,Australia: Victoria,2020-03-10
MT450946,Australia: Victoria,2020-03-10
MT450948,Australia: Victoria,2020-03-10
MT450949,Australia: Victoria,2020-03-10
MT450950,Australia: Victoria,2020-03-10
MT450951,Australia: Victoria,2020-03-10
MT450954,Australia: Victoria,2020-03-11
MT450955,Australia: Victoria,2020-03-11
MT450956,Australia: Victoria,2020-03-11
MT450957,Australia: Victoria,2020-03-11
MT450960,Australia: Victoria,2020-03-11
MT450961,Australia: Victoria,2020-03-11
MT450962,Australia: Victoria,2020-03-12
