Accession,Geo_Location,Collection_Date
MT510727,China,2020-02-15
MT510728,China,2020-02-13
MT079843,China,2020-01-22
MT079844,China,2020-01-22
MT079845,China,2020-01-22
MT079846,China,2020-01-22
MT079847,China,2020-01-22
MT079848,China,2020-01-22
MT079849,China,2020-01-22
MT079850,China,2020-01-22
MT079851,China,2020-01-22
MT079852,China,2020-01-22
MT079853,China,2020-01-22
MT079854,China,2020-01-22
MT412134,China,2020-02-24
MT396241,China,2020-03-06
MT039874,China,2020-01-22
MT226610,China,2020-01-20
MT093631,China,2020-01-08
MN988668,China,2020-01-02
