Accession,Geo_Location,Collection_Date
NC_004718,Greece: Athens,2020-03-24
MT459832,Greece: Athens,2020-03-24
MT459833,Greece: Athens,2020-03-20
MT459834,Greece: Athens,2020-03-23
MT459835,Greece: Athens,2020-03-23
MT459836,Greece: Athens,2020-03-14
MT459837,Greece: Athens,2020-03-29
MT459838,Greece: Athens,2020-03-28
MT459839,Greece: Athens,2020-03-20
MT459840,Greece: Athens,2020-03-23
MT459841,Greece: Athens,2020-03-29
MT459842,Greece: Athens,2020-03-23
MT459843,Greece: Athens,2020-03-23
MT459844,Greece: Athens,2020-03-23
MT459845,Greece: Athens,2020-03-22
MT459846,Greece: Athens,2020-03-26
MT459847,Greece: Athens,2020-04-04
MT459848,Greece: Athens,2020-03-31
MT459849,Greece: Athens,2020-03-09
MT459850,Greece: Athens,2020-03-10
