Accession,Geo_Location,Collection_Date
MT459861,Greece: Athens,2020-03-16
MT459860,Greece: Athens,2020-03-16
MT459872,Greece: Athens,2020-03-12
MT459878,Greece: Athens,2020-03-14
MT459871,Greece: Athens,2020-03-12
MT459862,Greece: Athens,2020-03-19
MT459870,Greece: Athens,2020-03-12
MT459874,Greece: Athens,2020-03-13
MT459873,Greece: Athens,2020-03-13
MT459866,Greece: Athens,2020-03-13
MT459864,Greece: Athens,2020-03-11
MT459863,Greece: Athens,2020-03-09
MT459859,Greece: Athens,2020-03-16
MT459868,Greece: Athens,2020-03-19
MT459876,Greece: Athens,2020-03-14
MT459877,Greece: Athens,2020-03-14
MT459867,Greece: Athens,2020-03-20
MT459865,Greece: Athens,2020-03-12
MT459875,Greece: Athens,2020-03-13
MT459869,Greece: Athens,2020-03-16
