Accession,Geo_Location,Collection_Date
MT510999,Netherlands: Leiden,2020-03-09
MT457390,Netherlands,2020-04-29
MT457391,Netherlands,2020-04-29
MT457392,Netherlands,2020-04-29
MT457393,Netherlands,2020-04-29
MT457394,Netherlands,2020-04-29
MT457395,Netherlands,2020-04-29
MT457396,Netherlands,2020-04-29
MT457397,Netherlands,2020-04-29
MT457398,Netherlands,2020-04-25
MT457399,Netherlands,2020-04-28
MT457400,Netherlands,2020-05-06
MT457401,Netherlands,2020-05-06
MT396266,Netherlands: Milheeze,2020-04-24
