Accession,Geo_Location,Collection_Date
NC_004718,Poland,2020-04-01
MT511066,Poland,2020-04-01
MT511067,Poland,2020-04-02
MT511068,Poland,2020-03-31
MT511069,Poland,2020-04-03
MT511070,Poland,2020-03-31
MT511071,Poland,2020-04-07
MT511072,Poland,2020-04-03
MT511073,Poland,2020-04-01
MT511074,Poland,2020-03-31
MT511075,Poland,2020-04-02
MT511076,Poland,2020-04-07
MT511077,Poland,2020-03-29
MT511078,Poland,2020-04-02
MT511079,Poland,2020-03-29
MT511080,Poland,2020-03-29
MT511081,Poland,2020-04-07
MT511082,Poland,2020-04-01
MT499208,Poland,2020-04-11
MT499209,Poland,2020-04-11
MT499210,Poland,2020-04-11
