Accession,Geo_Location,Collection_Date
NC_004718,Thailand,2020-02-01
MT447154,Thailand,2020-02-01
MT447155,Thailand,2020-01-08
MT447156,Thailand,2020-01-23
MT447157,Thailand,2020-01-25
MT447158,Thailand,2020-01-25
MT447159,Thailand,2020-01-26
MT447161,Thailand,2020-02-03
MT447162,Thailand,2020-02-07
MT447163,Thailand,2020-02-22
MT447165,Thailand,2020-02-25
MT447166,Thailand,2020-01-23
MT447169,Thailand,2020-03-12
MT447171,Thailand,2020-03-16
MT447172,Thailand,2020-03-18
MT447173,Thailand,2020-03-18
MT447174,Thailand,2020-03-01
MT447175,Thailand,2020-03-19
MT447176,Thailand,2020-03-20
