Accession,Geo_Location,Collection_Date
NC_004718,USA,2020-04-03
MT506981,USA,2020-04-03
MT507018,USA,2020-04-17
MT522852,USA,2020-04
MT522853,USA,2020-04
MT522854,USA,2020-04
MT522855,USA,2020-04
MT510718,USA,2020-03-15
MT510719,USA,2020-03-14
MT510721,USA,2020-03-14
MT510722,USA,2020-03-19
MT510725,USA,2020-03-20
MT510726,USA,2020-03-20
MT512415,USA,2020-03-09
MT512416,USA,2020-03-10
MT512417,USA,2020-03-05
MT512418,USA,2020-03-09
MT512419,USA,2020-03-09
MT512420,USA,2020-03-21
MT512421,USA,2020-03-23
MT512422,USA,2020-03-23
