Accession,Geo_Location,Collection_Date
NC_004718,USA,2020-04-03
MT534304,USA: CA,2020-04-10
MT534305,USA: CA,2020-04-11
MT534306,USA: CA,2020-05-12
MT534307,USA: CA,2020-05-12
MT534308,USA: CA,2020-04-11
MT534309,USA: CA,2020-05-12
MT534311,USA: CA,2020-04-14
MT534312,USA: CA,2020-04-14
MT534313,USA: CA,2020-04-14
MT534314,USA: CA,2020-04-14
MT534315,USA: CA,2020-04-14
MT534316,USA: CA,2020-04-14
MT534317,USA: CA,2020-04-12
MT534318,USA: CA,2020-04-12
MT534320,USA: CA,2020-04-12
MT534322,USA: CA,2020-05-12
MT534323,USA: CA,2020-04-12
MT534324,USA: CA,2020-04-12
MT534325,USA: CA,2020-05-12
MT534326,USA: CA,2020-05-12
