Accession,Geo_Location,Collection_Date
NC_004718,China: Wuhan,2019-12-30
MN996528,China: Wuhan,2019-12-30
MT253702,"China: Zhejiang, Hangzhou",2020-01-21
MT291830,China: Wuhan,2019-12-30
MT253707,"China: Zhejiang, Hangzhou",2020-01-25
MT291829,China: Wuhan,2019-12-30
MN996530,China: Wuhan,2019-12-30
MN996527,China: Wuhan,2019-12-30
MT253710,"China: Zhejiang, Hangzhou",2020-01-21
MT253709,"China: Zhejiang, Hangzhou",2020-01-21
MT253704,"China: Zhejiang, Hangzhou",2020-01-25
MN996531,China: Wuhan,2019-12-30
MN996529,China: Wuhan,2019-12-30
MT049951,China: Yunnan,2020-01-17
MT253706,"China: Zhejiang, Hangzhou",2020-01-22
MT291828,China: Wuhan,2019-12-30
MT253703,"China: Zhejiang, Hangzhou",2020-01-25
MT253708,"China: Zhejiang, Hangzhou",2020-01-21
MT291827,China: Wuhan,2019-12-30
MT253705,"China: Zhejiang, Hangzhou",2020-01-22
MT291826,China: Wuhan,2019-12-30
