Accession,Geo_Location,Collection_Date
NC_004718,Czech Republic,2020-03-27
MT517429,Czech Republic,2020-03-27
MT371573,Czech Republic,2020-03-17
MT517431,Czech Republic,2020-03-27
MT517425,Czech Republic,2020-03-31
MT517427,Czech Republic,2020-03-26
MT517432,Czech Republic,2020-03-27
MT517434,Czech Republic,2020-03-29
MT517426,Czech Republic,2020-04-27
MT517430,Czech Republic,2020-03-27
MT371570,Czech Republic,2020-03-21
MT517428,Czech Republic,2020-03-26
MT517433,Czech Republic,2020-03-28
MT517423,Czech Republic,2020-03-28
MT517420,Czech Republic,2020-03-27
MT371574,Czech Republic,2020-03-18
MT517424,Czech Republic,2020-03-31
MT371572,Czech Republic,2020-03-19
MT517421,Czech Republic,2020-03-27
MT517422,Czech Republic,2020-03-26
MT371569,Czech Republic,2020-03-19
MT371571,Czech Republic,2020-03-18
MT371568,Czech Republic,2020-03-22
