geneID	Mapman ANN	description	At homolog	At Tair9 short description	RPKM-base	RPKM-1cm	RPKM+4 cm	RPKMtip	GeneName
AC147602.5_FG002	not assigned	expressed protein	AT3G09070.1	glycine-rich protein	11.07036909	0.124247698	0	0.029796078	OPS
AC147602.5_FG003	PS.calvin cycle.seduheptulose bisphosphatase	sedoheptulose-1,7-bisphosphatase, chloroplast precursor, putative, expressed	AT3G55800.1	SBPASE (sedoheptulose-bisphosphatase); phosphoric ester hydrolase/ sedoheptulose-bisphosphatase	51.9437381	683.5725179	1756.653079	1630.996878	SBPASE
AC147602.5_FG004	PS.calvin cycle.seduheptulose bisphosphatase	sedoheptulose-1,7-bisphosphatase, chloroplast precursor, putative, expressed	AT3G55800.1	SBPASE (sedoheptulose-bisphosphatase); phosphoric ester hydrolase/ sedoheptulose-bisphosphatase	48.30221172	463.6167784	1341.606575	1302.873667	SBPASE
AC148152.3_FG008	misc.gluco-, galacto- and mannosidases	SFR2, putative, expressed	AT3G06510.1	SFR2 (SENSITIVE TO FREEZING 2); beta-glucosidase/ hydrolase, hydrolyzing O-glycosyl compounds	3.7930796	25.92836399	62.88409667	79.13729785	SFR2
AC149475.2_FG003	protein.degradation.ubiquitin.proteasom	proteasome subunit alpha type 5, putative, expressed	AT1G53850.2	PAE1; endopeptidase/ peptidase/ threonine-type endopeptidase	147.6101067	49.22484833	31.08306929	23.34026104	PAE1
AC149810.2_FG004	not assigned	ABC-type Co2+ transport system, permease component, putative, expressed	AT4G19100.1	unknown protein	43.13350914	19.42942545	9.145261476	11.20980871	PAM68
AC149818.2_FG001	signalling.G-proteins	ras-related protein Rab-18, putative, expressed	AT5G03530.1	RABC2A (RAB GTPASE HOMOLOG C2A); GTP binding / GTP-dependent protein binding / myosin XI tail binding	1.11541252	7.168609797	0.994687443	0.86612053	RABC2A
AC149818.2_FG004	cell.cycle	cyclin-dependent kinases regulatory subunit, putative, expressed	AT2G27960.1	CKS1 (CYCLIN-DEPENDENT KINASE-SUBUNIT 1); cyclin-dependent protein kinase/ protein binding	82.58488945	1.187098899	0.137293333	0.482719035	CKS1
AC149828.2_FG002	protein.degradation.ubiquitin.proteasom	proteasome subunit alpha type 6, putative, expressed	AT5G35590.1	PAA1 (PROTEASOME ALPHA SUBUNIT A 1); endopeptidase/ peptidase/ threonine-type endopeptidase	96.59165859	26.93478189	16.01542697	13.26812421	PAA1
AC149829.2_FG003	protein.targeting.nucleus	PRE, putative, expressed	AT1G80680.1	SAR3 (SUPPRESSOR OF AUXIN RESISTANCE 3); porin	6.073896024	1.056685028	0.249101452	0.896129398	SAR3
AC155376.2_FG005	misc.gluco-, galacto- and mannosidases	lactase-like protein precursor, putative, expressed	AT5G36890.2	BGLU42 (BETA GLUCOSIDASE 42); beta-glucosidase/ catalytic/ cation binding / hydrolase, hydrolyzing O-glycosyl compounds	2.549334009	3.524246703	6.053439664	11.26046536	BGLU42
